Count,Question,Answer
1,What is the size of the lesion? 1) 3.5 x 3.2 x 3.4 cm  2) 4.0 x 3.0 x 3.5 cm  3) 2.5 x 2.2 x 2.4 cm  4) 3.0 x 3.0 x 3.0 cm,3.5 x 3.2 x 3.4 cm
2,What is the location of the primary lesion? 1) Left inferior frontal gyrus  2) Right inferior frontal gyrus  3) Left superior frontal gyrus  4) Right superior frontal gyrus,Right inferior frontal gyrus
2,What is the suspected diagnosis for the lesion in the right inferior frontal lobe? 1) Low grade glioma  2) High grade glioma  3) Benign tumor  4) Metastatic carcinoma,High grade glioma
4,What is the size of the enhancing mass? 1) 2.9 cm  2) 3.5 cm  3) 2.5 cm  4) 3.0 cm,2.9 cm
3,What is the condition of the corpus callosum? 1) Non mass-like T2/FLAIR signal intensity  2) Mass-like enhancement  3) Normal signal intensity  4) Not discussed,Non mass-like T2/FLAIR signal intensity
2,What is the condition of the primary motor tracts? 1) Coursing along the anterior aspect of the enhancing component  2) Displaced inferiorly  3) Severed  4) Unaffected,Coursing along the anterior aspect of the enhancing component
2,What is the condition of the primary visual pathways? 1) Course along the inferior medial aspects of the enhancing lesion  2) Displaced superiorly  3) Severed  4) Unaffected,Course along the inferior medial aspects of the enhancing lesion
2,What is the location of the cystic lesion? 1) Left frontal lobe  2) Right retrolenticular internal capsule/thalamus  3) Left parietal lobe  4) Right occipital lobe,Right retrolenticular internal capsule/thalamus
1,What is the condition of herniation or hydrocephalus? 1) Without evidence of herniation or hydrocephalus  2) Evidence of herniation  3) Evidence of hydrocephalus  4) Inconclusive,Without evidence of herniation or hydrocephalus
2,"What regions does the hyperintensity extend into? 1) Left frontal lobe  2) Superior temporal gyrus, insula, internal capsule, superior and inferior parietal lobule, and right posterior cerebral peduncle  3) Cerebellum  4) Left occipital lobe","Superior temporal gyrus, insula, internal capsule, superior and inferior parietal lobule, and right posterior cerebral peduncle"
3,"What is the appearance of the mass margin? 1) Smooth and non-enhancing  2) Mildly irregular, enhancing peripheral margin  3) Non-enhancing and regular  4) Highly irregular and non-enhancing","Mildly irregular, enhancing peripheral margin"
1,What is the condition of the ventricles and sulci? 1) Enlarged and irregular  2) Commensurate with the patient's age  3) Reduced and compressed  4) Not visualized,Commensurate with the patient's age
2,What is the location of the heterogeneously enhancing lesion? 1) Left Precuneus  2) Right Precuneus  3) Left Frontal Lobe  4) Right Frontal Lobe,Left Precuneus
3,What is the presence of acute infarct? 1) Present  2) Absent  3) Inconclusive  4) Not discussed,Absent
2,What is the size of the lesion centered in the right insula and temporal stem? 1) 4.5 x 3.1 cm  2) 5.0 x 3.5 cm  3) 3.8 x 2.9 cm  4) 4.0 x 3.0 cm,4.5 x 3.1 cm
